FIXTURES AND SCORES,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Date:,Day,Home Team,Home Score,Home Points,vs,Away Points,Away Score,Away Team,Location,Alley,Wins,Lose,Draw,Match Details,,UpdatedAt
29/08/2025,Friday,GBU,,5,vs,2,,Semington A,Liberal Club,Left Alley,1,0,0,Premier,2025-2026,Sun/26/04/2026 09:09
05/09/2025,Friday,Semington A,,2,vs,5,,Staverton A,Semington Village hall,N/A,0,0,0,Premier,2025-2026,Sun/26/04/2026 09:09
19/09/2025,Friday,Cons D,313,,vs,,292,Semington A,Conservstive Club,Right Up Alley,0,0,0,Cup Match,2025-2026,Sun/26/04/2026 09:09
26/09/2025,Friday,Spencers B,,6.5,vs,0.5,,Semington A,Spencers ,Left Alley,0,0,0,Premier,2025-2026,Sun/26/04/2026 09:09
03/10/2025,Friday,Semington A,,0,vs,7,,Cons C,Semington Village hall,N/A,0,0,0,Premier,2025-2026,Sun/26/04/2026 09:09
10/10/2025,Friday,M.U.D.S.,,6.5,vs,0.5,,Semington A,Spencers ,Right Alley,0,0,0,Premier,2025-2026,Sun/26/04/2026 09:09
31/10/2025,Friday,Avon A,,6,vs,1,,Semington A,Conservstive Club,Left Up Alley ,0,0,0,Premier,2025-2026,Sun/26/04/2026 09:09
07/11/2025,Friday,Semington A,,1.5,vs,5.5,,Motley Crew,Semington Village hall,N/A,0,0,0,Premier,2025-2026,Sun/26/04/2026 09:09
21/11/2025,Friday,Semington B,,6,vs,1,,Semington A,Semington Village hall,N/A,0,0,0,Premier,2025-2026,Sun/26/04/2026 09:09
28/11/2025,Friday,Semington A,,0,vs,7,,Seend A,Semington Village hall,N/A,0,0,0,Premier,2025-2026,Sun/26/04/2026 09:09
05/12/2025,Friday,Cons D,,7,vs,0,,Semington A,Conservstive Club,Left Up Alley ,0,0,0,Premier,2025-2026,Sun/26/04/2026 09:09
12/12/2025,Friday,Semington A,,5,vs,2,,Comrades,Semington Village hall,N/A,0,0,0,Premier,2025-2026,Sun/26/04/2026 09:09
02/01/2026,Friday,Semington A,201,,vs,,299,Seend A,Semington Village hall,N/A,0,0,0,Cup Match,2025-2026,Sun/26/04/2026 09:09
09/01/2026,Friday,Semington A,,0,vs,7,,Cons D,Semington Village hall,N/A,0,0,0,Premier,2025-2026,Sun/26/04/2026 09:09
16/01/2026,Friday,Staverton A,,6,vs,1,,Semington A,Staverton Village Hall,N/A,0,0,0,Premier,2025-2026,Sun/26/04/2026 09:09
30/01/2026,Friday,M.U.D.S.,176,,vs,,175,Semington A,Spencers ,,0,0,0,Cup Match,2025-2026,Sun/26/04/2026 09:09
06/02/2026,Friday,Semington A,,1,vs,6,,Spencers B,Semington Village hall,N/A,0,0,0,Premier,2025-2026,Sun/26/04/2026 09:09
13/02/2026,Friday,Cons C,,7,vs,0,,Semington A,Conservstive Club,,0,0,0,Premier,2025-2026,Sun/26/04/2026 09:09
20/02/2026,Friday,Semington A,,0,vs,7,,M.U.D.S.,Semington Village hall,N/A,0,0,0,Premier,2025-2026,Sun/26/04/2026 09:09
13/03/2026,Friday,Semington A,,1,vs,6,,Avon A,Semington Village hall,N/A,0,0,0,Premier,2025-2026,Sun/26/04/2026 09:09
19/03/2026,Thursday,Motley Crew,,6,vs,1,,Semington A,Liberal Club,Right Alley,0,0,0,Premier,2025-2026,Sun/26/04/2026 09:09
27/03/2026,Friday,Semington A,,1,vs,6,,Spencers B,Semington Village hall,N/A,0,0,0,Premier,2025-2026,Sun/26/04/2026 09:09
10/04/2026,Friday,Seend A,,7,vs,0,,Semington A,Seend Village Hall,Left Alley,0,0,0,Premier,2025-2026,Sun/26/04/2026 09:09
17/04/2026,Friday,Semington A,,2,vs,5,,Cons D,Semington Village hall,N/A,0,0,0,Premier,2025-2026,Sun/26/04/2026 09:09
24/04/2026,Friday,Comrades,,5,vs,2,,Semington A,Spencers ,Right Alley,0,0,0,Premier,2025-2026,Sun/26/04/2026 09:09
